timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
15734826,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000964299,-0.000142582,-0.482275,-0.00184335,-0.00146441,-4.8454,0.0,0.0,0.0
15834807,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000906259,-0.000203938,-0.464896,-0.00173353,-0.00159695,-4.84017,0.0,0.0,0.0
15935079,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000817224,-0.000288703,-0.447886,-0.00157432,-0.00176596,-4.83605,0.0,0.0,0.0
16037138,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000757991,-0.000394723,-0.430853,-0.00146705,-0.001972,-4.83281,0.0,0.0,0.0
16137100,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000758307,-0.000509579,-0.414709,-0.0014635,-0.00218879,-4.83056,0.0,0.0,0.0
16239605,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00079783,-0.000580055,-0.398564,-0.00152691,-0.0023237,-4.82896,0.0,0.0,0.0
16344371,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000864735,-0.000606298,-0.382575,-0.00163586,-0.00238253,-4.82799,0.0,0.0,0.0
16444379,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000873962,-0.000590476,-0.367819,-0.0016452,-0.00236927,-4.82765,0.0,0.0,0.0
16546960,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000899432,-0.000604643,-0.353144,-0.00168421,-0.00241116,-4.8277,0.0,0.0,0.0
16647035,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000953157,-0.000600921,-0.339289,-0.00176958,-0.00242062,-4.82815,0.0,0.0,0.0
16747137,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000945498,-0.000620112,-0.325926,-0.0017469,-0.00246836,-4.82893,0.0,0.0,0.0
16851895,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000882389,-0.000617597,-0.312353,-0.00163034,-0.00248148,-4.82997,0.0,0.0,0.0
16951644,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000865483,-0.000589718,-0.299896,-0.00159691,-0.00244873,-4.83117,0.0,0.0,0.0
17054173,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000884822,-0.000540679,-0.287562,-0.00162355,-0.00238292,-4.8326,0.0,0.0,0.0
17154162,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000851126,-0.000533387,-0.275981,-0.00155843,-0.00238992,-4.83414,0.0,0.0,0.0
17254170,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000853168,-0.000566815,-0.264817,-0.00155846,-0.00246394,-4.83578,0.0,0.0,0.0
17359152,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000892718,-0.000568257,-0.253523,-0.00161949,-0.00248163,-4.83758,0.0,0.0,0.0
17458766,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000949564,-0.000550322,-0.243206,-0.001709,-0.00246432,-4.83936,0.0,0.0,0.0
17558755,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00102134,-0.000567774,-0.233244,-0.00181901,-0.0025074,-4.84117,0.0,0.0,0.0
17663748,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00101264,-0.000552546,-0.223223,-0.00178979,-0.0024979,-4.84316,0.0,0.0,0.0
17763744,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000954229,-0.000580591,-0.214008,-0.00168462,-0.00256016,-4.84497,0.0,0.0,0.0
17866230,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000848321,-0.000635071,-0.204946,-0.00150172,-0.00266764,-4.84686,0.0,0.0,0.0
17963806,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000724575,-0.000646437,-0.196652,-0.00129182,-0.00269325,-4.84866,0.0,0.0,0.0
18066244,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000667303,-0.000689767,-0.18826,-0.00119599,-0.00277786,-4.8505,0.0,0.0,0.0
18171265,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000657845,-0.000752751,-0.180025,-0.00118095,-0.00289138,-4.85237,0.0,0.0,0.0
18268745,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000688986,-0.000826182,-0.172659,-0.00123042,-0.00302294,-4.85405,0.0,0.0,0.0
18370847,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000742976,-0.000905699,-0.16525,-0.00131915,-0.00316244,-4.85577,0.0,0.0,0.0
18473059,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000731332,-0.000937981,-0.158119,-0.00129767,-0.00322292,-4.85745,0.0,0.0,0.0
18575577,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000660691,-0.000919562,-0.151265,-0.00117505,-0.0031981,-4.85911,0.0,0.0,0.0
18678156,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000556113,-0.000874198,-0.144688,-0.000998083,-0.00313228,-4.86072,0.0,0.0,0.0
18778112,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000437144,-0.000817239,-0.138538,-0.000797764,-0.00304605,-4.86226,0.0,0.0,0.0
18878118,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000302621,-0.000737168,-0.132631,-0.000575463,-0.00292684,-4.86377,0.0,0.0,0.0
18983182,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00025471,-0.000652389,-0.126693,-0.000501441,-0.00280114,-4.86532,0.0,0.0,0.0
19084350,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000246591,-0.000627963,-0.121236,-0.00049282,-0.00277886,-4.86681,0.0,0.0,0.0
19184344,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000196109,-0.000593756,-0.11608,-0.000413915,-0.00274039,-4.86826,0.0,0.0,0.0
19283966,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000127943,-0.000585709,-0.111156,-0.000307973,-0.00274906,-4.86967,0.0,0.0,0.0
19388910,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000129322,-0.000567748,-0.106187,-0.000320858,-0.0027359,-4.8711,0.0,0.0,0.0
19488960,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000176218,-0.000587333,-0.101649,-0.000407016,-0.00279042,-4.8724,0.0,0.0,0.0
19591411,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000225145,-0.000622612,-0.0972138,-0.000492825,-0.00286941,-4.87369,0.0,0.0,0.0
19693942,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000217897,-0.000618984,-0.0929498,-0.00048287,-0.00288227,-4.87493,0.0,0.0,0.0
19791436,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000192138,-0.000591522,-0.0890657,-0.00044005,-0.00285299,-4.87605,0.0,0.0,0.0
19896518,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00022111,-0.000533322,-0.0850488,-0.000489103,-0.00277886,-4.87721,0.0,0.0,0.0
19996437,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000280245,-0.000498657,-0.0814081,-0.000588804,-0.00274303,-4.87828,0.0,0.0,0.0
20096466,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000368103,-0.000502878,-0.0778994,-0.00073718,-0.00277055,-4.87929,0.0,0.0,0.0
20198898,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000434829,-0.000523305,-0.0744691,-0.000847399,-0.00282217,-4.8803,0.0,0.0,0.0
20301306,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000436933,-0.000510181,-0.0711758,-0.000843845,-0.00282074,-4.88125,0.0,0.0,0.0
20401285,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000384269,-0.000470815,-0.0680847,-0.000749061,-0.00277134,-4.88213,0.0,0.0,0.0
20501277,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000336217,-0.000427734,-0.065144,-0.000668198,-0.00271616,-4.883,0.0,0.0,0.0
20603806,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000305222,-0.000364723,-0.0622404,-0.000615838,-0.00262984,-4.88383,0.0,0.0,0.0
20708689,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000272582,-0.00032421,-0.0594041,-0.000564787,-0.00258491,-4.88467,0.0,0.0,0.0
20806233,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000255278,-0.000331853,-0.0568528,-0.000538212,-0.00261862,-4.88537,0.0,0.0,0.0
20908740,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000197488,-0.000353096,-0.0543071,-0.000448218,-0.00266998,-4.88609,0.0,0.0,0.0
21013197,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.00014677,-0.000371379,-0.0518187,-0.000371503,-0.00272186,-4.88682,0.0,0.0,0.0
21112822,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000115476,-0.000421177,-0.0495252,-0.000327058,-0.00281895,-4.88744,0.0,0.0,0.0
21215395,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-4.58849e-05,-0.000460674,-0.0472876,-0.000219407,-0.00289841,-4.88809,0.0,0.0,0.0
21315699,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.90376e-05,-0.000468558,-0.0452127,-8.56613e-05,-0.00292984,-4.88873,0.0,0.0,0.0
21417882,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,9.45199e-05,-0.000445344,-0.043162,-6.66132e-06,-0.00290574,-4.88933,0.0,0.0,0.0
21520361,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,8.37778e-05,-0.00044001,-0.0412003,-3.4597e-05,-0.00291331,-4.88991,0.0,0.0,0.0
21617892,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.27487e-05,-0.000471533,-0.0394246,-0.000130383,-0.00298228,-4.89045,0.0,0.0,0.0
21722846,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-5.82229e-05,-0.000497095,-0.0375824,-0.000292062,-0.00303968,-4.89099,0.0,0.0,0.0
21825377,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000115144,-0.000485547,-0.035859,-0.000389999,-0.00303284,-4.89149,0.0,0.0,0.0
21925010,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-0.000110059,-0.000494874,-0.0342683,-0.000381321,-0.00306418,-4.89196,0.0,0.0,0.0
22027252,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-6.53379e-05,-0.000494207,-0.0326835,-0.000307332,-0.00307632,-4.89241,0.0,0.0,0.0
22129732,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-5.37146e-05,-0.000509855,-0.0311559,-0.000289981,-0.00311755,-4.89282,0.0,0.0,0.0
22229441,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,-6.22784e-05,-0.00051551,-0.0297616,0.00186574,-0.00313305,-4.89325,0.0,0.0,0.0
22329438,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.000244808,-0.000490774,-0.0283999,0.014048,-0.00306414,-4.89366,0.0,0.0,0.0
22431947,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0014866,-0.000489856,-0.0271016,0.0410087,-0.00299731,-4.89416,0.0,0.0,0.0
22534489,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0043817,-0.000515276,-0.0258303,0.0837813,-0.0029288,-4.89468,0.0,0.0,0.0
22636953,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.00967544,-0.000559809,-0.0246378,0.14246,-0.00284203,-4.89535,0.0,0.0,0.0
22737010,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0178155,-0.000567047,-0.0235484,0.21521,-0.00264919,-4.89618,0.0,0.0,0.0
22836999,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0293896,-0.000533431,-0.0225851,0.303347,-0.00235184,-4.89726,0.0,0.0,0.0
22941988,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0460016,-0.000455993,-0.0216925,0.412863,-0.00192154,-4.89862,0.0,0.0,0.0
23042020,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0667851,-0.000344744,-0.0209798,0.534225,-0.0014032,-4.90017,0.0,0.0,0.0
23144488,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.0935549,-0.000259543,-0.0203995,0.67609,-0.000885741,-4.90198,0.0,0.0,0.0
23242022,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.124664,-0.000152757,-0.0200213,0.827291,-0.000311444,-4.90393,0.0,0.0,0.0
23344439,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.163973,-5.82641e-05,-0.0198546,1.00359,0.000293796,-4.9061,0.0,0.0,0.0
23447035,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.210208,2.06741e-05,-0.0199405,1.19833,0.000907628,-4.90863,0.0,0.0,0.0
23546945,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.263032,0.000138713,-0.0203347,1.40778,0.00161537,-4.91156,0.0,0.0,0.0
23649436,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.325036,0.000257133,-0.0210699,1.64091,0.0023689,-4.91504,0.0,0.0,0.0
23751966,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.396316,0.000414758,-0.0223251,1.89361,0.00320586,-4.91876,0.0,0.0,0.0
23854426,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.476405,0.00061999,-0.0239689,2.16524,0.00414165,-4.92275,0.0,0.0,0.0
23954468,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.564275,0.000851696,-0.0262241,2.45107,0.00512798,-4.92761,0.0,0.0,0.0
24057128,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.664164,0.00106244,-0.0291549,2.76382,0.00610571,-4.93316,0.0,0.0,0.0
24156978,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.771599,0.00124494,-0.0326376,3.08602,0.00701533,-4.93825,0.0,0.0,0.0
24259423,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,0.893116,0.00146687,-0.0371608,3.43942,0.00801247,-4.94477,0.0,0.0,0.0
24359436,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.02227,0.00172417,-0.0422211,3.80257,0.00906035,-4.95269,0.0,0.0,0.0
24461939,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.16644,0.00200737,-0.0485543,4.19251,0.0101384,-4.96063,0.0,0.0,0.0
24564472,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.32278,0.00230482,-0.0560356,4.60561,0.0112221,-4.97013,0.0,0.0,0.0
24666937,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.49129,0.00261206,-0.0647154,4.98069,0.0121715,-4.98071,0.0,0.0,0.0
24764499,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.66333,0.00290531,-0.0741049,4.98968,0.0121297,-4.9897,0.0,0.0,0.0
24866945,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,1.85713,0.00320374,-0.0855115,5.00101,0.0120149,-5.00103,0.0,0.0,0.0
24968550,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,2.06213,0.00351208,-0.0975018,5.01344,0.0118771,-5.01345,0.0,0.0,0.0
25070041,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,2.28081,0.00374751,-0.113094,5.02902,0.0115673,-5.02903,0.0,0.0,0.0
25175016,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,2.52034,0.00404936,-0.128371,5.04276,0.0113458,-5.04278,0.0,0.0,0.0
25272547,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,2.75632,0.00429866,-0.144691,5.05525,0.0110585,-5.05526,0.0,0.0,0.0
25377122,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.02406,0.00447776,-0.166294,5.07507,0.0106186,-5.07508,0.0,0.0,0.0
25476773,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.29302,0.00463368,-0.188562,5.09741,0.0101967,-5.09743,0.0,0.0,0.0
25579176,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.58333,0.00484316,-0.210622,5.11216,0.00981113,-5.11217,0.0,0.0,0.0
25681690,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,3.88862,0.00502167,-0.234938,5.13042,0.00941057,-5.13043,0.0,0.0,0.0
25779188,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,4.19336,0.00509209,-0.263661,5.15831,0.00894201,-5.15832,0.0,0.0,0.0
25884193,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,4.53557,0.00517344,-0.29565,5.18324,0.00845383,-5.18325,0.0,0.0,0.0
25984086,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,4.87473,0.00520186,-0.329457,5.21208,0.00797839,-5.21208,0.0,0.0,0.0
26083858,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.22769,0.00524729,-0.363848,5.24272,0.00754098,-5.24273,0.0,0.0,0.0
26185969,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.50796,0.00514451,-0.403518,5.27536,0.00706764,-5.27536,0.0,0.0,0.0
26290477,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.56022,0.00482005,-0.446415,5.31408,0.00662826,-5.31408,0.0,0.0,0.0
26390483,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.61022,0.00448199,-0.49326,5.36068,0.00617747,-5.36069,0.0,0.0,0.0
26492733,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.66135,0.00421172,-0.539567,5.39854,0.0057821,-5.39854,0.0,0.0,0.0
26595220,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.71259,0.00395431,-0.588309,5.44536,0.00540039,-5.44536,0.0,0.0,0.0
26697127,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.76355,0.00361206,-0.650331,5.51429,0.00493661,-5.51429,0.0,0.0,0.0
26797134,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.81355,0.0033512,-0.708438,5.56837,0.004539,-5.56837,0.0,0.0,0.0
26897121,0.0047016,-0.00422614,-2.50519,-0.0237993,0.0,5.86354,0.00307196,-0.77395,5.64151,0.00412149,-5.64151,0.0,0.0,0.0
