timestamp,roll,pitch,yaw,thrust
1544054,0.0,0.0,0.0,0.0
1571565,0.0,0.0,0.0,0.0
1606572,0.0,0.0,0.0,0.0
1634077,0.0,0.0,0.0,0.0
1666548,0.0,0.0,0.0,0.0
1699077,0.0,0.0,0.0,0.0
1731554,0.0,0.0,0.0,0.0
1761644,0.0,0.0,0.0,0.0
1794049,0.0,0.0,0.0,0.0
1824063,0.0,0.0,0.0,0.0
1856568,0.0,0.0,0.0,0.0
1886559,0.0,0.0,0.0,0.0
1921613,0.0,0.0,0.0,0.0
1951586,0.0,0.0,0.0,0.0
1981564,0.0,0.0,0.0,0.0
2016543,0.0,0.0,0.0,0.0
2046566,0.0,0.0,0.0,0.0
2079048,0.0,0.0,0.0,0.0
2109029,0.0,0.0,0.0,0.0
2139086,0.0,0.0,0.0,0.0
2174061,0.0,0.0,0.0,0.0
2201588,0.0,0.0,0.0,0.0
2236635,0.0,0.0,0.0,0.0
2264049,0.0,0.0,0.0,0.0
2299070,0.0,0.0,0.0,0.0
2331576,0.0,0.0,0.0,0.0
2361594,0.0,0.0,0.0,0.0
2391556,0.0,0.0,0.0,0.0
2424100,0.0,0.0,0.0,0.0
2454079,0.0,0.0,0.0,0.0
2489040,0.0,0.0,0.0,0.0
2519046,0.0,0.0,0.0,0.0
2551564,0.0,0.0,0.0,0.0
2581572,0.0,0.0,0.0,0.0
2611604,0.0,0.0,0.0,0.0
2646556,0.0,0.0,0.0,0.0
2674064,0.0,0.0,0.0,0.0
2706555,0.0,0.0,0.0,0.0
2739071,0.0,0.0,0.0,0.0
2771552,0.0,0.0,0.0,0.0
2801583,0.0,0.0,0.0,0.0
2831566,0.0,0.0,0.0,0.0
2866552,0.0,0.0,0.0,0.0
2896551,0.0,0.0,0.0,0.0
2926587,0.0,0.0,0.0,0.0
2961578,0.0,0.0,0.0,0.0
2989094,0.0,0.0,0.0,0.0
3024059,0.0,0.0,0.0,0.0
3054050,0.0,0.0,0.0,0.0
3086629,0.0,0.0,0.0,0.0
3116560,0.0,0.0,0.0,0.0
3146560,0.0,0.0,0.0,0.0
3179068,0.0,0.0,0.0,0.0
3211553,0.0,0.0,0.0,0.0
3244077,0.0,0.0,0.0,0.0
3274173,0.0,0.0,0.0,0.0
3304058,0.0,0.0,0.0,0.0
3339103,0.0,0.0,0.0,0.0
3366614,0.0,0.0,0.0,0.0
3401579,0.0,0.0,0.0,0.0
3431565,0.0,0.0,0.0,0.0
3464047,0.0,0.0,0.0,0.0
3496551,0.0,0.0,0.0,0.0
3524098,0.0,0.0,0.0,0.0
3559083,0.0,0.0,0.0,0.0
3591559,0.0,0.0,0.0,0.0
3621719,0.0,0.0,0.0,0.0
3654059,0.0,0.0,0.0,0.0
3684043,0.0,0.0,0.0,0.0
3716579,0.0,0.0,0.0,0.0
3746594,0.0,0.0,0.0,0.0
3779104,0.0,0.0,0.0,0.0
3811558,0.0,0.0,0.0,0.0
3841571,0.0,0.0,0.0,0.0
3874095,0.0,0.0,0.0,0.0
3906547,0.0,0.0,0.0,0.0
3934051,0.0,0.0,0.0,0.0
3969058,0.0,0.0,0.0,0.0
3999078,0.0,0.0,0.0,0.0
4031598,0.0,0.0,0.0,0.0
4061581,0.0,0.0,0.0,0.0
4093814,0.0,0.0,0.0,0.0
4123850,0.0,0.0,0.0,0.0
4158843,0.0,0.0,0.0,0.0
4188855,0.0,0.0,0.0,0.0
4218861,0.0,0.0,0.0,0.0
4251336,0.0,0.0,0.0,0.0
4283848,0.0,0.0,0.0,0.0
4316355,0.0,0.0,0.0,0.0
4346357,0.0,0.0,0.0,0.0
4378895,0.0,0.0,0.0,0.0
4408869,0.0,0.0,0.0,0.0
4441364,0.0,0.0,0.0,0.0
4473889,0.0,0.0,0.0,0.0
4503841,0.0,0.0,0.0,0.0
4536333,0.0,0.0,0.0,0.0
4566350,0.0,0.0,0.0,0.0
4596377,0.0,0.0,0.0,0.0
4628879,0.0,0.0,0.0,0.0
4661358,0.0,0.0,0.0,0.0
4693837,0.0,0.0,0.0,0.0
4723865,0.0,0.0,0.0,0.0
4756398,0.0,0.0,0.0,0.0
4788849,0.0,0.0,0.0,0.0
4818881,0.0,0.0,0.0,0.0
4851344,0.0,0.0,0.0,0.0
4878853,0.0,0.0,0.0,0.0
4913825,0.0,0.0,0.0,0.0
4946402,0.0,0.0,0.0,0.0
4973898,0.0,0.0,0.0,0.0
5008868,0.0,0.0,0.0,0.0
5036334,0.0,0.0,0.0,0.0
5071388,0.0,0.0,0.0,0.0
5101376,0.0,0.0,0.0,0.0
5133861,0.0,0.0,0.0,0.0
5166375,0.0,0.0,0.0,0.0
5196343,0.0,0.0,0.0,0.0
5228828,0.0,0.0,0.0,0.0
5258901,0.0,0.0,0.0,0.0
5291361,0.0,0.0,0.0,0.0
5323870,0.0,0.0,0.0,0.0
5353860,0.0,0.0,0.0,0.0
5386370,0.0,0.0,0.0,0.0
5416373,0.0,0.0,0.0,0.0
5446391,0.0,0.0,0.0,0.0
5481363,0.0,0.0,0.0,0.0
5511333,0.0,0.0,0.0,0.0
5541386,0.0,0.0,0.0,0.0
5573845,0.0,0.0,0.0,0.0
5606346,0.0,0.0,0.0,0.0
5636423,0.0,0.0,0.0,0.0
5668861,0.0,0.0,0.0,0.0
5698842,0.0,0.0,0.0,0.0
5731386,0.0,0.0,0.0,0.0
5761346,0.0,0.0,0.0,0.0
5796370,0.0,0.0,0.0,0.0
5826370,0.0,0.0,0.0,0.0
5858898,0.0,0.0,0.0,0.0
5888865,0.0,0.0,0.0,0.0
5921376,0.0,0.0,0.0,0.0
5951440,0.0,0.0,0.0,0.0
5983657,0.0,0.0,0.0,0.0
6016183,0.0,0.0,0.0,0.0
6048652,0.0,0.0,0.0,0.0
6078650,0.0,0.0,0.0,0.0
6111128,0.0,0.0,0.0,0.0
6141180,0.0,0.0,0.0,0.0
6171136,0.0,0.0,0.0,0.0
6206182,0.0,0.0,0.0,0.0
6236134,0.0,0.0,0.0,0.0
6266151,0.0,0.0,0.0,0.0
6298665,0.0,0.0,0.0,0.0
6331207,0.0,0.0,0.0,0.0
6363696,0.0,0.0,0.0,0.0
6393640,0.0,0.0,0.0,0.0
6426144,0.0,0.0,0.0,0.0
6453658,0.0,0.0,0.0,0.0
6488644,0.0,0.0,0.0,0.0
6518674,0.0,0.0,0.0,0.0
6551149,0.0,0.0,0.0,0.0
6581202,0.0,0.0,0.0,0.0
6611153,0.0,0.0,0.0,0.0
6643642,0.0,0.0,0.0,0.0
6678652,0.0,0.0,0.0,0.0
6708672,0.0,0.0,0.0,0.0
6738665,0.0,0.0,0.0,0.0
6771138,0.0,0.0,0.0,0.0
6801159,0.0,0.0,0.0,0.0
6833658,0.0,0.0,0.0,0.0
6866154,0.0,0.0,0.0,0.0
6898657,0.0,0.0,0.0,0.0
6926164,0.0,0.0,0.0,0.0
6961160,0.0,0.0,0.0,0.0
6993624,0.0,0.0,0.0,0.0
7023657,0.0,0.0,0.0,0.0
7056140,0.0,0.0,0.0,0.0
7086331,0.0,0.0,0.0,0.0
7118657,0.0,0.0,0.0,0.0
7148676,0.0,0.0,0.0,0.0
7181129,0.0,0.0,0.0,0.0
7213680,0.0,0.0,0.0,0.0
7243663,0.0,0.0,0.0,0.0
7273665,0.0,0.0,0.0,0.0
7306176,0.0,0.0,0.0,0.0
7338673,0.0,0.0,0.0,0.0
7371195,0.0,0.0,0.0,0.0
7401192,0.0,0.0,0.0,0.0
7433684,0.0,0.0,0.0,0.0
7466223,0.0,0.0,0.0,0.0
7496129,0.0,0.0,0.0,0.0
7526178,0.0,0.0,0.0,0.0
7558653,0.0,0.0,0.0,0.0
7591133,0.0,0.0,0.0,0.0
7623648,0.0,0.0,0.0,0.0
7651137,0.0,0.0,0.0,0.0
7686147,0.0,0.0,0.0,0.0
